,LABORATORIO,CLASSE,FAMILIA,MATERIAL,DESCRIÇÃO MATERIAL,Estado,Unidade,Nome da Unidade,Nome Fornecedor,Volume, Baseline, Preço medio realizado,Preço Acordo Vigente,Spend acordo,Fornecedor Contrato vigente,"Preço médio
4T25 e 3T25",Spend ano Atual Peers,Spend mensal,∆R$,∆%,"Preço médio
4T25 e 3T25",Spend ano consumo,Spend mensal,∆R$,∆%,Premissa deflatora,Preço projetado,"Spend projetado
ano",∆R$ projetado compras,∆% ano compras,∆R$ projetado consumo,∆% ano consumo,STATUS,cronograma,Fornecedor_final,Preço unit,Spend Cotado FINAL,∆R$ Cotado,∆%  Cotado,FIRSTLAB,MARCA,BD MICRO.,BD COLETA,CRAL,BMX MICRO.,MARCA,SARSTEDT,MARCA,POLAR FIX,MARCA,MAFRA,MARCA,TERA MEDICAL,MARCA,PLASTLABOR / LABORCLIN,MARCA,SENSORIAL,MARCA,SOL-MILLENIUM,NEW PROV,MARCA,DNEDX(TESTE),DIPROMED,MARCA,DK Diag.,DOBBER,MARCA,ADVAGEN,MARCA,ONMNIA,BIO-RAD,INJEX,ABBOT TESTE RAPIDO,MEDLEVERSOHN,GLOBAL TESTES,MASTER HIGIMED,MARCA,PROBAC,MARCA,LABTECH,MARCA ,ADVAGEM,MARCA,AGAR LAB,MOBIUS,GREINER,WERFEN,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,TOTAL 2026,CARRY-OVER 2027,Inicio Captação,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ, TOTAL 2026, CARRY-OVER 2027,FAROL," ∆R$
consumo","∆%
ano",INICIO CAPTAÇÃO, JAN,FEV,MAR, ABR, MAI, JUN, JUL, AGO, SET, OUT, NOV, DEZ, TOTAL 2026, CARRY-OVER 2027,FAROL,,SKU único (flag),SKU único por status (flag),Projeção captação,Quadrante MATRIZ 2x2
209340,LABORATORIO,PRÉ ANALITICO,TUBO,209340,TUBO CONECTOR INJETORA,SP,3069,NDI-CD LAPA,BAYER S.A.,78687,  1.407.014 ,"  17,88 ",,  -   ,,"  18,13 ",  1.426.472 ,  118.873 ,  19.458 ,1%,"  18,08 ",  1.423.017 ,  118.585 ,  16.003 ,1%,"12,0%","  15,95 ","  1.255.295,76 ","- 171.176,69 ","-12,0%","- 167.721,39 ",-12%,NÃO INICIADO,,,  -   ,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , , ,  -   ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , , ,,1,1, ,
225698,LABORATORIO,PRÉ ANALITICO,SERINGA,225698,MS LUER ADAPTER 367290 BD REA SOL,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,999100,  1.167.947 ,"  1,17 ","1,17",  1.168.947 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  1,17 ",  1.167.948 ,  97.329 ,  1 ,0%,"  1,17 ",  1.167.930 ,  97.328 ,- 16 ,0%,"12,0%","  1,03 ","  1.027.794,15 ","- 140.153,75 ","-12,0%","- 140.136,32 ",-12%,FINALIZADO,,BD COLETA,"  1,17 ",  1.167.948 ,  17 ,0%,,,,"  1,17 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  1,45 ","  1,45 ","  1,45 ","  1,45 ","  1,45 ","  1,45 ","  1,45 ","  10,17 ","  7,26 ",#REF!,  17 ,"0,0%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  1 ,  10 ,  7 ,#REF!,,1,1, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,1829500,  1.079.395 ,"  0,59 ","0,64",  1.170.880 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  1.148.989 ,  95.749 ,  69.594 ,6%,"  0,64 ",  1.166.413 ,  97.201 ,  87.018 ,8%,"12,0%","  0,55 ","  1.011.110,39 ","- 137.878,69 ","-12,0%","- 155.302,35 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  1.170.880 ,  4.467 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  372,27 ","  372,27 ","  372,27 ","  372,27 ","  372,27 ","  372,27 ","  372,27 ","  2.605,90 ","  1.861,36 ",#REF!,  4.467 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  372 ,  372 ,  372 ,  372 ,  372 ,  372 ,  372 ,  2.606 ,  1.861 ,#REF!,,1,1, JUN,
150420,LABORATORIO,PRÉ ANALITICO,AGULHA,150420,AGULHA MULTI COL SANG DISPSEG 21G 368607,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,1578672,  1.057.736 ,"  0,67 ","0,74",  1.168.217 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,77 ",  1.215.985 ,  101.332 ,  158.249 ,15%,"  0,79 ",  1.254.456 ,  104.538 ,  196.720 ,19%,"12,0%","  0,68 ","  1.070.066,41 ","- 145.918,15 ","-12,0%","- 184.389,50 ",-15%,FINALIZADO,,BD COLETA,"  0,74 ",  1.168.217 ,- 86.239 ,-7%,,,,"  0,74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,15 ", LABOR IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 7.186,55 ","- 7.186,55 ","- 7.186,55 ","- 7.186,55 ","- 7.186,55 ","- 7.186,55 ","- 7.186,55 ","- 50.305,87 ","- 35.932,76 ",#REF!,- 86.239 ,"-6,9%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 7.187 ,- 7.187 ,- 7.187 ,- 7.187 ,- 7.187 ,- 7.187 ,- 7.187 ,- 50.306 ,- 35.933 ,#REF!,,1,1, JUN,
171430,LABORATORIO,PRÉ ANALITICO,ESCALPE,171430,ESCALPE COL SANG DISP SEGUR 23GX7 367256,CE,2045,HAM-CD FORTALEZA,BECTON DICKINSON IND CIRURG LTDA,344600,  951.078 ,"  2,76 ","2,3",  792.580 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  2,86 ",  986.607 ,  82.217 ,  35.529 ,4%,"  2,86 ",  986.706 ,  82.226 ,  35.628 ,4%,"12,0%","  2,52 ","  868.213,94 ","- 118.392,81 ","-12,0%","- 118.492,33 ",-12%,FINALIZADO,,BD COLETA,"  2,12 ",  730.552 ,- 256.154 ,-26%,,,,"  2,12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 21.346,19 ","- 21.346,19 ","- 21.346,19 ","- 21.346,19 ","- 21.346,19 ","- 21.346,19 ","- 21.346,19 ","- 149.423,33 ","- 106.730,95 ",#REF!,- 256.154 ,"-26,0%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 21.346 ,- 21.346 ,- 21.346 ,- 21.346 ,- 21.346 ,- 21.346 ,- 21.346 ,- 149.423 ,- 106.731 ,#REF!,,1,1, JUN,
211181,LABORATORIO,PRÉ ANALITICO,TUBO,211181,TUBO HEMATOLOGIA AM SORO 3.5ML BD 360059,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,1534100,  859.096 ,"  0,56 ","0,58",  889.778 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,56 ",  860.954 ,  71.746 ,  1.858 ,0%,"  0,56 ",  860.424 ,  71.702 ,  1.328 ,0%,"12,0%","  0,49 ","  757.639,12 ","- 103.314,43 ","-12,0%","- 102.784,84 ",-12%,FINALIZADO,,BD COLETA,"  0,58 ",  889.778 ,  29.354 ,3%,,,,"  0,58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  2.446,17 ","  2.446,17 ","  2.446,17 ","  2.446,17 ","  2.446,17 ","  2.446,17 ","  2.446,17 ","  17.123,19 ","  12.230,85 ",#REF!,  29.354 ,"3,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  2.446 ,  2.446 ,  2.446 ,  2.446 ,  2.446 ,  2.446 ,  2.446 ,  17.123 ,  12.231 ,#REF!,,1,1, JUN,
171430,LABORATORIO,PRÉ ANALITICO,ESCALPE,171430,ESCALPE COL SANG DISP SEGUR 23GX7 367256,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,302800,  834.625 ,"  2,76 ","2,3",  696.440 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  2,86 ",  866.931 ,  72.244 ,  32.307 ,4%,"  2,86 ",  867.019 ,  72.252 ,  32.394 ,4%,"12,0%","  2,52 ","  762.899,54 ","- 104.031,76 ","-12,0%","- 104.119,20 ",-12%,FINALIZADO,,BD COLETA,"  2,12 ",  641.936 ,- 225.083 ,-26%,,,,"  2,12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 18.756,90 ","- 18.756,90 ","- 18.756,90 ","- 18.756,90 ","- 18.756,90 ","- 18.756,90 ","- 18.756,90 ","- 131.298,27 ","- 93.784,48 ",#REF!,- 225.083 ,"-26,0%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 18.757 ,- 18.757 ,- 18.757 ,- 18.757 ,- 18.757 ,- 18.757 ,- 18.757 ,- 131.298 ,- 93.784 ,#REF!,,0,0, JUN,
152794,LABORATORIO,PRÉ ANALITICO,TUBO,152794,TUBO 13X75MM C/CIT SODIO 2.7ML 363083,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,641900,  783.118 ,"  1,22 ","1,22",  783.118 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  1,39 ",  891.490 ,  74.291 ,  108.372 ,14%,"  1,51 ",  968.611 ,  80.718 ,  185.493 ,24%,"12,0%","  1,22 ","  784.511,26 ","- 106.978,81 ","-12,0%","- 184.099,36 ",-19%,FINALIZADO,,BD COLETA,"  1,22 ",  783.118 ,- 185.493 ,-19%,,,,"  1,22 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 15.457,72 ","- 15.457,72 ","- 15.457,72 ","- 15.457,72 ","- 15.457,72 ","- 15.457,72 ","- 15.457,72 ","- 108.204,03 ","- 77.288,59 ",#REF!,- 185.493 ,"-19,2%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 15.458 ,- 15.458 ,- 15.458 ,- 15.458 ,- 15.458 ,- 15.458 ,- 15.458 ,- 108.204 ,- 77.289 ,#REF!,,1,1, JUN,
197223,LABORATORIO,PRÉ ANALITICO,ESCALPE,197223,BD VACUT UT/PB 23G 367392 SCALP 1,AM,2245,HAM-HOSP SAO LUCAS,BECTON DICKINSON INDUSTRIAS CIRURGI,203100,  761.625 ,"  3,75 ","3,57",  725.067 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  4,01 ",  813.841 ,  67.820 ,  52.216 ,7%,"  4,09 ",  830.979 ,  69.248 ,  69.354 ,9%,"12,0%","  3,53 ","  716.180,21 ","- 97.660,94 ","-12,0%","- 114.798,79 ",-14%,FINALIZADO,,BD COLETA,"  3,39 ",  688.509 ,- 142.470 ,-17%,,,,"  3,39 ",,,,,,,,,,,,,,,,"  3,68 ",,,,,,,,,,,,,,,,,"  10,54 ", BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 11.872,50 ","- 11.872,50 ","- 11.872,50 ","- 11.872,50 ","- 11.872,50 ","- 11.872,50 ","- 11.872,50 ","- 83.107,50 ","- 59.362,50 ",#REF!,- 142.470 ,"-17,1%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 11.873 ,- 11.873 ,- 11.873 ,- 11.873 ,- 11.873 ,- 11.873 ,- 11.873 ,- 83.108 ,- 59.363 ,#REF!,,1,1, JUN,
171430,LABORATORIO,PRÉ ANALITICO,ESCALPE,171430,ESCALPE COL SANG DISP SEGUR 23GX7 367256,PE,2044,HAM-CD RECIFE,BECTON DICKINSON IND CIRURG LTDA,228450,  630.522 ,"  2,76 ","2,3",  525.435 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  2,86 ",  654.064 ,  54.505 ,  23.542 ,4%,"  2,86 ",  654.130 ,  54.511 ,  23.608 ,4%,"12,0%","  2,52 ","  575.575,96 ","- 78.487,63 ","-12,0%","- 78.553,61 ",-12%,FINALIZADO,,BD COLETA,"  2,12 ",  484.314 ,- 169.816 ,-26%,,,,"  2,12 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 14.151,30 ","- 14.151,30 ","- 14.151,30 ","- 14.151,30 ","- 14.151,30 ","- 14.151,30 ","- 14.151,30 ","- 99.059,08 ","- 70.756,49 ",#REF!,- 169.816 ,"-26,0%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 14.151 ,- 14.151 ,- 14.151 ,- 14.151 ,- 14.151 ,- 14.151 ,- 14.151 ,- 99.059 ,- 70.756 ,#REF!,,0,0, JUN,
197223,LABORATORIO,PRÉ ANALITICO,ESCALPE,197223,BD VACUT UT/PB 23G 367392 SCALP 1,GO,2235,HAM-LABORATORIO JARDIM AMERICA,BECTON DICKINSON INDUSTRIAS CIRURGI,130050,  487.688 ,"  3,75 ","3,57",  464.279 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  4,01 ",  521.123 ,  43.427 ,  33.435 ,7%,"  4,09 ",  532.097 ,  44.341 ,  44.409 ,9%,"12,0%","  3,53 ","  458.588,07 ","- 62.534,74 ","-12,0%","- 73.508,53 ",-14%,FINALIZADO,,BD COLETA,"  3,39 ",  440.870 ,- 91.227 ,-17%,,,,"  3,39 ",,,,,,,,,,,,,,,,"  3,68 ",,,,,,,,,,,,,,,,,"  10,54 ", BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 7.602,26 ","- 7.602,26 ","- 7.602,26 ","- 7.602,26 ","- 7.602,26 ","- 7.602,26 ","- 7.602,26 ","- 53.215,81 ","- 38.011,29 ",#REF!,- 91.227 ,"-17,1%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 7.602 ,- 7.602 ,- 7.602 ,- 7.602 ,- 7.602 ,- 7.602 ,- 7.602 ,- 53.216 ,- 38.011 ,#REF!,,0,0, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,AM,2245,HAM-HOSP SAO LUCAS,BECTON DICKINSON INDUSTRIAS CIRURGI,755000,  445.446 ,"  0,59 ","0,64",  483.200 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  474.166 ,  39.514 ,  28.720 ,6%,"  0,64 ",  481.356 ,  40.113 ,  35.910 ,8%,"12,0%","  0,55 ","  417.266,11 ","- 56.899,92 ","-12,0%","- 64.090,34 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  483.200 ,  1.844 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  153,63 ","  153,63 ","  153,63 ","  153,63 ","  153,63 ","  153,63 ","  153,63 ","  1.075,41 ","  768,15 ",#REF!,  1.844 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  154 ,  154 ,  154 ,  154 ,  154 ,  154 ,  154 ,  1.075 ,  768 ,#REF!,,0,0, JUN,
212236,LABORATORIO,PRÉ ANALITICO,TUBO,212236,VACUT K2 EDTA 4ML 360057 TB 13X75MM,SP,3069,NDI-CD LAPA,BECTON DICKINSON IND CIRURG LTDA,1148700,  425.019 ,"  0,37 ","0,39",  447.993 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,39 ",  443.700 ,  36.975 ,  18.681 ,4%,"  0,40 ",  456.338 ,  38.028 ,  31.319 ,7%,"12,0%","  0,34 ","  390.456,11 ","- 53.244,01 ","-12,0%","- 65.882,34 ",-14%,FINALIZADO,,BD COLETA,"  0,39 ",  447.993 ,- 8.345 ,-2%,,,,"  0,39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 695,45 ","- 695,45 ","- 695,45 ","- 695,45 ","- 695,45 ","- 695,45 ","- 695,45 ","- 4.868,18 ","- 3.477,27 ",#REF!,- 8.345 ,"-1,8%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 695 ,- 695 ,- 695 ,- 695 ,- 695 ,- 695 ,- 695 ,- 4.868 ,- 3.477 ,#REF!,,1,1, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,SP,3069,NDI-CD LAPA,GREINER BIO-ONE BRASIL PRO MED HOSP,578400,  414.051 ,"  0,72 ","0,64",  370.176 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  363.255 ,  30.271 ,- 50.795 ,-12%,"  0,64 ",  368.764 ,  30.730 ,- 45.287 ,-11%,"12,0%","  0,55 ","  319.664,53 ","- 43.590,62 ","-12,0%","- 49.099,14 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  370.176 ,  1.412 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  117,69 ","  117,69 ","  117,69 ","  117,69 ","  117,69 ","  117,69 ","  117,69 ","  823,86 ","  588,47 ",#REF!,  1.412 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  118 ,  118 ,  118 ,  118 ,  118 ,  118 ,  118 ,  824 ,  588 ,#REF!,,0,0, JUN,
