,LABORATORIO,CLASSE,FAMILIA,MATERIAL,DESCRIÇÃO MATERIAL,Estado,Unidade,Nome da Unidade,Nome Fornecedor,Volume, Baseline, Preço medio realizado,Preço Acordo Vigente,Spend acordo,Fornecedor Contrato vigente,"Preço médio
197223,LABORATORIO,PRÉ ANALITICO,ESCALPE,197223,BD VACUT UT/PB 23G 367392 SCALP 1,BA,2043,HAM-CD SALVADOR,BECTON DICKINSON IND CIRURG LTDA,106750,  400.313 ,"  3,75 ","3,57",  381.098 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  4,01 ",  427.757 ,  35.646 ,  27.445 ,7%,"  4,09 ",  436.765 ,  36.397 ,  36.453 ,9%,"12,0%","  3,53 ","  376.426,57 ","- 51.330,90 ","-12,0%","- 60.338,61 ",-14%,FINALIZADO,,BD COLETA,"  3,39 ",  361.883 ,- 74.883 ,-17%,,,,"  3,39 ",,,,,,,,,,,,,,,,"  3,68 ",,,,,,,,,,,,,,,,,"  10,54 ", BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 6.240,22 ","- 6.240,22 ","- 6.240,22 ","- 6.240,22 ","- 6.240,22 ","- 6.240,22 ","- 6.240,22 ","- 43.681,56 ","- 31.201,12 ",#REF!,- 74.883 ,"-17,1%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 6.240 ,- 6.240 ,- 6.240 ,- 6.240 ,- 6.240 ,- 6.240 ,- 6.240 ,- 43.682 ,- 31.201 ,#REF!,,0,0, JUN,
213624,159,PRÉ ANALITICO,SERINGA,213624,SERINGA GASO C/HEPAR 2ML,SP,3069,NDI-CD LAPA,SARSTEDT LTDA,205200,  395.326 ,"  1,93 ","195,04",  40.022.208 , SARSTEDT LTDA,"  1,96 ",  402.096 ,  33.508 ,  6.770 ,2%,"  1,95 ",  400.271 ,  33.356 ,  4.946 ,1%,"12,0%","  1,72 ","  353.844,48 ","- 48.251,52 ","-12,0%","- 46.426,99 ",-12%,FINALIZADO,,SARSTEDT,"  1,95 ",  400.140 ,- 131 ,0%,,,,,,,,"  1,95 ", SARSTEDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,21 ", FIRST LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, MAI,  -   ,  -   ,  -   ,  -   ,"- 10,96 ","- 10,96 ","- 10,96 ","- 10,96 ","- 10,96 ","- 10,96 ","- 10,96 ","- 10,96 ",- 88 ,"- 43,82 ",#REF!,- 131 ,"0,0%", MAI,  -   ,  -   ,  -   ,  -   ,- 11 ,- 11 ,- 11 ,- 11 ,- 11 ,- 11 ,- 11 ,- 11 ,- 88 ,- 44 ,#REF!,,1,1, MAI,
150420,LABORATORIO,PRÉ ANALITICO,AGULHA,150420,AGULHA MULTI COL SANG DISPSEG 21G 368607,CE,2045,HAM-CD FORTALEZA,BECTON DICKINSON IND CIRURG LTDA,568752,  381.065 ,"  0,67 ","0,74",  420.876 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,77 ",  438.086 ,  36.507 ,  57.020 ,15%,"  0,79 ",  451.946 ,  37.662 ,  70.881 ,19%,"12,0%","  0,68 ","  385.515,43 ","- 52.570,29 ","-12,0%","- 66.430,45 ",-15%,FINALIZADO,,BD COLETA,"  0,74 ",  420.876 ,- 31.069 ,-7%,,,,"  0,74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,31 ", LABOR IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 2.589,12 ","- 2.589,12 ","- 2.589,12 ","- 2.589,12 ","- 2.589,12 ","- 2.589,12 ","- 2.589,12 ","- 18.123,82 ","- 12.945,58 ",#REF!,- 31.069 ,"-6,9%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 2.589 ,- 2.589 ,- 2.589 ,- 2.589 ,- 2.589 ,- 2.589 ,- 2.589 ,- 18.124 ,- 12.946 ,#REF!,,0,0, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,PE,2044,HAM-CD RECIFE,BECTON DICKINSON IND CIRURG LTDA,603700,  356.183 ,"  0,59 ","0,64",  386.368 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  379.144 ,  31.595 ,  22.961 ,6%,"  0,64 ",  384.894 ,  32.074 ,  28.711 ,8%,"12,0%","  0,55 ","  333.647,09 ","- 45.497,33 ","-12,0%","- 51.246,80 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  386.368 ,  1.474 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  122,84 ","  122,84 ","  122,84 ","  122,84 ","  122,84 ","  122,84 ","  122,84 ","  859,90 ","  614,21 ",#REF!,  1.474 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  123 ,  860 ,  614 ,#REF!,,0,0, JUN,
212236,LABORATORIO,PRÉ ANALITICO,TUBO,212236,VACUT K2 EDTA 4ML 360057 TB 13X75MM,SP,3069,NDI-CD LAPA,GREINER BIO-ONE BRASIL PRO MED HOSP,684000,  324.759 ,"  0,47 ","0,39",  266.760 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,39 ",  264.204 ,  22.017 ,- 60.555 ,-19%,"  0,40 ",  271.729 ,  22.644 ,- 53.030 ,-16%,"12,0%","  0,34 ","  232.499,33 ","- 31.704,45 ","-12,0%","- 39.230,02 ",-14%,FINALIZADO,,BD COLETA,"  0,39 ",  266.760 ,- 4.969 ,-2%,,,,"  0,39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 414,11 ","- 414,11 ","- 414,11 ","- 414,11 ","- 414,11 ","- 414,11 ","- 414,11 ","- 2.898,78 ","- 2.070,56 ",#REF!,- 4.969 ,"-1,8%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 414 ,- 414 ,- 414 ,- 414 ,- 414 ,- 414 ,- 414 ,- 2.899 ,- 2.071 ,#REF!,,0,0, JUN,
152794,LABORATORIO,PRÉ ANALITICO,TUBO,152794,TUBO 13X75MM C/CIT SODIO 2.7ML 363083,AM,2245,HAM-HOSP SAO LUCAS,BECTON DICKINSON INDUSTRIAS CIRURGI,261010,  318.432 ,"  1,22 ","1,22",  318.432 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  1,39 ",  362.499 ,  30.208 ,  44.066 ,14%,"  1,51 ",  393.857 ,  32.821 ,  75.425 ,24%,"12,0%","  1,22 ","  318.998,73 ","- 43.499,83 ","-12,0%","- 74.858,66 ",-19%,FINALIZADO,,BD COLETA,"  1,22 ",  318.432 ,- 75.425 ,-19%,,,,"  1,22 ","  2,30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 6.285,43 ","- 6.285,43 ","- 6.285,43 ","- 6.285,43 ","- 6.285,43 ","- 6.285,43 ","- 6.285,43 ","- 43.998,03 ","- 31.427,16 ",#REF!,- 75.425 ,"-19,2%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 6.285 ,- 6.285 ,- 6.285 ,- 6.285 ,- 6.285 ,- 6.285 ,- 6.285 ,- 43.998 ,- 31.427 ,#REF!,,0,0, JUN,
213624,LABORATORIO,PRÉ ANALITICO,SERINGA,213624,SERINGA GASO C/HEPAR 2ML,AM,2245,HAM-HOSP SAO LUCAS,SARSTEDT LTDA,162400,  314.905 ,"  1,94 ","195,04",  31.674.496 , SARSTEDT LTDA,"  1,96 ",  318.228 ,  26.519 ,  3.323 ,1%,"  1,95 ",  316.784 ,  26.399 ,  1.879 ,1%,"12,0%","  1,72 ","  280.040,66 ","- 38.187,36 ","-12,0%","- 36.743,39 ",-12%,FINALIZADO,,SARSTEDT,"  1,95 ",  316.680 ,- 104 ,0%,,,,,,,,"  1,95 ", SARSTEDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  3,64 ", FIRST LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, MAI,  -   ,  -   ,  -   ,  -   ,"- 8,67 ","- 8,67 ","- 8,67 ","- 8,67 ","- 8,67 ","- 8,67 ","- 8,67 ","- 8,67 ",- 69 ,"- 34,68 ",#REF!,- 104 ,"0,0%", MAI,  -   ,  -   ,  -   ,  -   ,- 9 ,- 9 ,- 9 ,- 9 ,- 9 ,- 9 ,- 9 ,- 9 ,- 69 ,- 35 ,#REF!,,0,0, MAI,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,CE,2045,HAM-CD FORTALEZA,BECTON DICKINSON IND CIRURG LTDA,527900,  311.461 ,"  0,59 ","0,64",  337.856 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  331.539 ,  27.628 ,  20.078 ,6%,"  0,64 ",  336.567 ,  28.047 ,  25.106 ,8%,"12,0%","  0,55 ","  291.754,67 ","- 39.784,73 ","-12,0%","- 44.812,30 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  337.856 ,  1.289 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  107,42 ","  107,42 ","  107,42 ","  107,42 ","  107,42 ","  107,42 ","  107,42 ","  751,93 ","  537,09 ",#REF!,  1.289 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  107 ,  107 ,  107 ,  107 ,  107 ,  107 ,  107 ,  752 ,  537 ,#REF!,,0,0, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,SP,2277,HAM-CD RIBEIRAO PRETO,BECTON DICKINSON IND CIRURG LTDA,527000,  310.930 ,"  0,59 ","0,64",  337.280 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  330.974 ,  27.581 ,  20.044 ,6%,"  0,64 ",  335.993 ,  27.999 ,  25.063 ,8%,"12,0%","  0,55 ","  291.257,27 ","- 39.716,90 ","-12,0%","- 44.735,91 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  337.280 ,  1.287 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  107,24 ","  107,24 ","  107,24 ","  107,24 ","  107,24 ","  107,24 ","  107,24 ","  750,65 ","  536,18 ",#REF!,  1.287 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  107 ,  107 ,  107 ,  107 ,  107 ,  107 ,  107 ,  751 ,  536 ,#REF!,,0,0, JUN,
212236,LABORATORIO,PRÉ ANALITICO,TUBO,212236,VACUT K2 EDTA 4ML 360057 TB 13X75MM,AM,2245,HAM-HOSP SAO LUCAS,BECTON DICKINSON INDUSTRIAS CIRURGI,800000,  295.999 ,"  0,37 ","0,39",  312.000 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,39 ",  309.010 ,  25.751 ,  13.011 ,4%,"  0,40 ",  317.812 ,  26.484 ,  21.813 ,7%,"12,0%","  0,34 ","  271.929,04 ","- 37.081,23 ","-12,0%","- 45.883,06 ",-14%,FINALIZADO,,BD COLETA,"  0,39 ",  312.000 ,- 5.812 ,-2%,,,,"  0,39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 484,34 ","- 484,34 ","- 484,34 ","- 484,34 ","- 484,34 ","- 484,34 ","- 484,34 ","- 3.390,39 ","- 2.421,71 ",#REF!,- 5.812 ,"-1,8%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 484 ,- 484 ,- 484 ,- 484 ,- 484 ,- 484 ,- 484 ,- 3.390 ,- 2.422 ,#REF!,,0,0, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,SP,2277,HAM-CD RIBEIRAO PRETO,GLOBALMED BRASIL DISTRIBUIDORA,300400,  267.356 ,"  0,89 ","0,64",  192.256 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  188.662 ,  15.722 ,- 78.694 ,-29%,"  0,64 ",  191.522 ,  15.960 ,- 75.834 ,-28%,"12,0%","  0,55 ","  166.022,17 ","- 22.639,39 ","-12,0%","- 25.500,31 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  192.256 ,  734 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  61,13 ","  61,13 ","  61,13 ","  61,13 ","  61,13 ","  61,13 ","  61,13 ","  427,88 ","  305,63 ",#REF!,  734 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  61 ,  61 ,  61 ,  61 ,  61 ,  61 ,  61 ,  428 ,  306 ,#REF!,,0,0, JUN,
150420,LABORATORIO,PRÉ ANALITICO,AGULHA,150420,AGULHA MULTI COL SANG DISPSEG 21G 368607,PE,2044,HAM-CD RECIFE,BECTON DICKINSON IND CIRURG LTDA,376992,  252.586 ,"  0,67 ","0,74",  278.974 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,77 ",  290.381 ,  24.198 ,  37.795 ,15%,"  0,79 ",  299.568 ,  24.964 ,  46.982 ,19%,"12,0%","  0,68 ","  255.535,33 ","- 34.845,73 ","-12,0%","- 44.032,81 ",-15%,FINALIZADO,,BD COLETA,"  0,74 ",  278.974 ,- 20.594 ,-7%,,,,"  0,74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,31 ", LABOR IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 1.716,17 ","- 1.716,17 ","- 1.716,17 ","- 1.716,17 ","- 1.716,17 ","- 1.716,17 ","- 1.716,17 ","- 12.013,20 ","- 8.580,86 ",#REF!,- 20.594 ,"-6,9%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 1.716 ,- 1.716 ,- 1.716 ,- 1.716 ,- 1.716 ,- 1.716 ,- 1.716 ,- 12.013 ,- 8.581 ,#REF!,,0,0, JUN,
197223,LABORATORIO,PRÉ ANALITICO,ESCALPE,197223,BD VACUT UT/PB 23G 367392 SCALP 1,MA,2294,HAM-CLINICA LIA VARELLA,BECTON DICKINSON INDUSTRIAS CIRURGI,66000,  247.500 ,"  3,75 ","3,57",  235.620 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  4,01 ",  264.468 ,  22.039 ,  16.968 ,7%,"  4,09 ",  270.037 ,  22.503 ,  22.537 ,9%,"12,0%","  3,53 ","  232.732,12 ","- 31.736,20 ","-12,0%","- 37.305,37 ",-14%,FINALIZADO,,BD COLETA,"  3,39 ",  223.740 ,- 46.297 ,-17%,,,,"  3,39 ",,,,,,,,,,,,,,,,"  3,68 ",,,,,,,,,,,,,,,,,"  10,54 ", BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 3.858,12 ","- 3.858,12 ","- 3.858,12 ","- 3.858,12 ","- 3.858,12 ","- 3.858,12 ","- 3.858,12 ","- 27.006,87 ","- 19.290,62 ",#REF!,- 46.297 ,"-17,1%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 3.858 ,- 3.858 ,- 3.858 ,- 3.858 ,- 3.858 ,- 3.858 ,- 3.858 ,- 27.007 ,- 19.291 ,#REF!,,0,0, JUN,
150420,LABORATORIO,PRÉ ANALITICO,AGULHA,150420,AGULHA MULTI COL SANG DISPSEG 21G 368607,AM,2245,HAM-HOSP SAO LUCAS,BECTON DICKINSON INDUSTRIAS CIRURGI,357376,  241.014 ,"  0,67 ","0,74",  264.458 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,77 ",  275.272 ,  22.939 ,  34.258 ,14%,"  0,79 ",  283.981 ,  23.665 ,  42.967 ,18%,"12,0%","  0,68 ","  242.239,08 ","- 33.032,60 ","-12,0%","- 41.741,65 ",-15%,FINALIZADO,,BD COLETA,"  0,74 ",  264.458 ,- 19.522 ,-7%,,,,"  0,74 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  1,31 ", LABOR IMPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 1.626,87 ","- 1.626,87 ","- 1.626,87 ","- 1.626,87 ","- 1.626,87 ","- 1.626,87 ","- 1.626,87 ","- 11.388,12 ","- 8.134,37 ",#REF!,- 19.522 ,"-6,9%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 1.627 ,- 1.627 ,- 1.627 ,- 1.627 ,- 1.627 ,- 1.627 ,- 1.627 ,- 11.388 ,- 8.134 ,#REF!,,0,0, JUN,
212235,LABORATORIO,PRÉ ANALITICO,TUBO,212235,VAC GEL SST 5ML 360060 TB 13X100MM,PE,2044,HAM-CD RECIFE,GLOBALMED BRASIL DISTRIBUIDORA,252700,  224.903 ,"  0,89 ","0,64",  161.728 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,63 ",  158.704 ,  13.225 ,- 66.199 ,-29%,"  0,64 ",  161.111 ,  13.426 ,- 63.792 ,-28%,"12,0%","  0,55 ","  139.659,80 ","- 19.044,52 ","-12,0%","- 21.451,16 ",-13%,FINALIZADO,,BD COLETA,"  0,64 ",  161.728 ,  617 ,0%,,,,"  0,64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"  51,42 ","  51,42 ","  51,42 ","  51,42 ","  51,42 ","  51,42 ","  51,42 ","  359,94 ","  257,10 ",#REF!,  617 ,"0,4%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,  51 ,  51 ,  51 ,  51 ,  51 ,  51 ,  51 ,  360 ,  257 ,#REF!,,0,0, JUN,
212234,LABORATORIO,PRÉ ANALITICO,TUBO,212234,"VAC GEL SST 3,5ML 360059 TB 13X75MM",BA,2043,HAM-CD SALVADOR,BECTON DICKINSON IND CIRURG LTDA,400200,  224.109 ,"  0,56 ","0,58",  232.116 , BECTON DICKINSON INDUSTRIAS CIRURGI,"  0,61 ",  242.590 ,  20.216 ,  18.480 ,8%,"  0,62 ",  249.392 ,  20.783 ,  25.283 ,11%,"12,0%","  0,53 ","  213.478,99 ","- 29.110,77 ","-12,0%","- 35.913,32 ",-14%,FINALIZADO,,BD COLETA,"  0,58 ",  232.116 ,- 17.276 ,-7%,,,,"  0,58 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!, JUN,  -   ,  -   ,  -   ,  -   ,  -   ,"- 1.439,69 ","- 1.439,69 ","- 1.439,69 ","- 1.439,69 ","- 1.439,69 ","- 1.439,69 ","- 1.439,69 ","- 10.077,85 ","- 7.198,46 ",#REF!,- 17.276 ,"-6,9%", JUN,  -   ,  -   ,  -   ,  -   ,  -   ,- 1.440 ,- 1.440 ,- 1.440 ,- 1.440 ,- 1.440 ,- 1.440 ,- 1.440 ,- 10.078 ,- 7.198 ,#REF!,,1,1, JUN,
